,id,smiles,MW,logP,TPSA,HA,h_acc,h_don,rings,MR,Rot_bonds,lipinski
0,DAR-DIA-23aa0b97-19,N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,287.105862036,3.2876800000000017,65.78,22.0,3.0,1.0,3.0,85.23370000000003,3.0,0.0
1,DAR-DIA-23aa0b97-20,O=C(Cc1cncc2ccccc12)Nc1ccccc1,262.110613068,3.4160000000000013,41.99,20.0,2.0,1.0,3.0,80.51870000000004,3.0,0.0
2,TRY-UNI-714a760b-3,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,275.082539748,2.806820000000001,68.00999999999999,19.0,3.0,2.0,2.0,77.17210000000001,3.0,0.0
3,TRY-UNI-714a760b-6,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,260.071640716,3.2246200000000016,41.99,18.0,2.0,1.0,2.0,72.75970000000002,3.0,0.0
4,TRY-UNI-714a760b-12,Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,261.066889684,3.6874200000000013,54.02,18.0,2.0,2.0,2.0,73.06740000000002,2.0,0.0
5,TRY-UNI-714a760b-18,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,274.08729078000005,3.7856200000000024,41.99,19.0,2.0,1.0,2.0,77.47070000000004,3.0,0.0
6,TRY-UNI-714a760b-19,Cc1c(N)cncc1NC(=O)Cc1cccc(C#N)c1,266.116761068,2.0251,91.79999999999998,20.0,4.0,2.0,2.0,76.87710000000001,3.0,0.0
7,TRY-UNI-714a760b-20,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,251.105862036,2.4429000000000007,65.78,19.0,3.0,1.0,2.0,72.46470000000002,3.0,0.0
8,TRY-UNI-714a760b-22,Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,265.1215121,3.0039000000000016,65.78,20.0,3.0,1.0,2.0,77.17570000000003,3.0,0.0
9,TRY-UNI-714a760b-24,Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,252.101111004,2.9057000000000004,77.81,19.0,3.0,2.0,2.0,72.77240000000002,2.0,0.0
10,JOR-UNI-2fc98d0b-12,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1cccc(Cl)c1,357.160790068,5.7439000000000044,45.230000000000004,25.0,2.0,1.0,3.0,103.24570000000004,5.0,1.0
11,AGN-NEW-891393a6-1,COc1cc(Cl)cc(OC(=O)Nc2cccnc2)c1,278.045819892,3.3545000000000016,60.45,19.0,4.0,1.0,2.0,71.88770000000002,3.0,0.0
12,DUN-NEW-f8ce3686-22,CS(=O)(=O)N1CCN(C(=O)CCl)CC1c1ccccc1,316.064841084,1.0703,57.690000000000005,20.0,3.0,0.0,2.0,78.03280000000004,3.0,0.0
13,DUN-NEW-f8ce3686-23,O=C(CCl)Nc1nc2c(S(=O)(=O)NCCc3ccccc3)cccc2s1,409.032161052,2.994600000000002,88.16,26.0,5.0,2.0,3.0,104.30420000000002,7.0,0.0
14,DUN-NEW-f8ce3686-24,CC(=O)NCCc1c[nH]c2c(CN3CCN(C(=O)CCl)CC3)cccc12,376.16660372,1.7295,68.44,26.0,3.0,2.0,3.0,103.26340000000003,6.0,0.0
15,JOH-MSK-a63bdd1d-4,CC(=O)NCCc1c[nH]c2ccc(O)cc12,218.105527688,1.5521,65.12,16.0,2.0,3.0,2.0,62.35120000000003,3.0,0.0
16,DAN-LON-a5fc619e-3,CC(C)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,342.126568748,3.6377000000000024,23.550000000000004,22.0,2.0,0.0,2.0,92.40500000000006,5.0,0.0
17,DAN-LON-a5fc619e-8,O=C(CCl)N1CC2CC1CN2Cc1cccc(Cl)c1,298.06396849199996,2.3639,23.550000000000004,19.0,2.0,0.0,3.0,76.48800000000004,3.0,0.0
18,NIR-THE-c331be7a-1,Nc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,300.10294084400005,2.981700000000002,46.33,21.0,2.0,1.0,3.0,85.27640000000002,2.0,0.0
19,NIR-THE-c331be7a-2,N#Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,310.08729078000005,3.271180000000002,44.1,22.0,2.0,0.0,3.0,85.57900000000004,2.0,0.0
20,NIR-THE-c331be7a-6,Cc1cccc(C2CN(C(=O)CCl)Cc3ccccc32)c1,299.107691876,3.7079200000000023,20.310000000000002,21.0,1.0,0.0,3.0,85.60100000000004,2.0,0.0
21,NIR-THE-0d6461ce-8,Cc1cc(Cl)cc(CC2CCN(C(=O)CCl)CC2)c1,299.084369588,3.6683200000000022,20.310000000000002,19.0,1.0,0.0,2.0,79.91700000000004,3.0,0.0
22,GIA-UNK-a79af1bc-1,Cc1cc(C)nc(NC2CCN(C(=O)CCl)CC2)n1,282.12473890800004,1.73514,58.120000000000005,19.0,4.0,1.0,2.0,75.45070000000003,3.0,0.0
23,DAV-CRI-3edb475e-6,CC(NC(=O)CCl)c1cc(F)cc(Cl)c1,249.01234752,2.895100000000001,29.1,15.0,1.0,1.0,1.0,58.68770000000003,3.0,0.0
24,DAV-CRI-14a23e73-1,CC(NC(=O)CCl)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,386.025868732,3.0704000000000002,89.25999999999999,24.0,3.0,2.0,2.0,95.53890000000001,5.0,0.0
25,DAR-DIA-fb20be43-4,CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,321.13563794,1.2680799999999999,72.26,22.0,5.0,1.0,2.0,85.69270000000003,5.0,0.0
26,DAR-DIA-fb20be43-6,N#Cc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,327.113839876,2.594480000000001,47.34,23.0,3.0,0.0,3.0,91.24000000000004,3.0,0.0
27,DAR-DIA-fb20be43-7,COc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,332.129155592,2.7314000000000007,32.78,23.0,3.0,0.0,3.0,93.07700000000006,4.0,0.0
28,DAR-DIA-fb20be43-4,CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,321.13563794,1.2680799999999999,72.26,22.0,5.0,1.0,2.0,85.69270000000003,5.0,0.0
29,GIA-UNK-20b63697-2,O=C(CCl)N1CCN(C(c2ccccc2)C2CCOCC2)CC1,336.16045572,2.537300000000001,32.78,23.0,3.0,0.0,3.0,91.59900000000006,4.0,0.0
30,GIA-UNK-20b63697-6,O=C(CCl)N1CCN(C(c2ccccc2)C2CCCCC2)CC1,334.18119116400004,3.6910000000000025,23.550000000000004,23.0,2.0,0.0,3.0,94.63100000000007,4.0,0.0
